symbol,strategy,trigger,confluence,entry_date,entry_price,exit_date,exit_price,exit_reason,original_shares,remaining_shares,scaled_out,scale_out_price,holding_days,pnl,pnl_pct,peak_price,rsi_at_entry,vol_at_entry,portfolio_value,win
HON,momentum_breakout,breakout,3,2024-10-09,202.96615600585935,2024-10-24,199.87,stop_loss,1.8390001256857147,1.84,False,,15,-5.69,-1.53,211.18,60.076255861671065,2.0716514270320143,1865.71,0
TSLA,momentum_breakout,breakout,3,2024-10-24,260.4800109863281,2024-10-25,269.19,bearish_divergence,1.4325175311939253,1.43,False,,1,12.48,3.34,269.19,61.05980213180006,2.568759109563737,1870.32,1
KO,momentum_breakout,breakout,3,2024-08-02,65.5049057006836,2024-10-31,62.36,stop_loss,1.83333859306107,1.83,False,,90,-5.77,-4.8,68.98,79.81778867029412,1.7535280183399709,1865.06,0
TSLA,momentum_breakout,breakout,2,2024-10-25,269.19000244140625,2024-11-14,315.0,trailing_stop,1.389592666394031,0.69,True,317.64,20,65.49,17.51,350.0,64.55987214238836,1.9207850963756645,1994.2,1
GOOGL,momentum_breakout,breakout,3,2024-10-31,169.9168243408203,2024-11-22,164.09,stop_loss,1.9316612892889722,1.93,False,,22,-11.26,-3.43,180.35,60.5776892726582,1.7620814200560202,1989.19,0
JNJ,momentum_breakout,breakout,3,2024-08-05,151.6074676513672,2024-12-06,142.71,trailing_stop,0.7976638419646993,0.8,False,,123,-7.1,-5.87,158.57,70.92850601560623,1.5244710146901475,2013.62,0
SCHW,momentum_breakout,breakout,3,2024-11-14,78.44210815429688,2024-12-12,81.04,bearish_divergence,5.084521443494017,5.08,False,,28,13.23,3.32,81.04,79.45847702533173,1.8447186051146298,1978.4,1
SNAP,momentum_breakout,breakout,3,2024-12-06,12.4399995803833,2024-12-17,11.25,trailing_stop,20.3582277078939,20.36,False,,11,-24.23,-9.57,12.5,61.107525776246575,1.9816992039690031,1986.28,0
TSLA,momentum_breakout,breakout,3,2024-12-17,479.8599853515625,2025-01-02,402.76,stop_loss,0.8278579036917081,0.83,False,,16,-63.83,-16.07,479.86,84.4195006438799,1.6142675253261491,1866.42,0
ANET,momentum_breakout,breakout,2,2025-01-06,118.9800033569336,2025-01-27,116.84,trailing_stop,2.860909324633717,2.86,False,,21,-6.13,-1.8,129.82,67.34349158007653,1.6767260488462568,1902.66,0
